year,movie title,rating,genre,star,director,writer,country,company,score,votes,budget,gross,gross us,gross overseas,runtime,released,more success overseas
1992,Simple Men,R,Crime,Robert John Burke,Hal Hartley,Hal Hartley,Italy,American Playhouse,7.2,3563,3000000,,141554,,105,11/6/1992,UNK
1988,Stand and Deliver,PG,Drama,Edward James Olmos,Ramón Menéndez,Ramón Menéndez,USA,American Playhouse,7.3,13270,0,,13994920,,103,3/11/1988,UNK
1991,Straight Out of Brooklyn,R,Crime,George T. Odom,Matty Rich,Matty Rich,USA,American Playhouse,5.9,499,450000,,2712293,,100,6/1/1991,UNK
1992,Swoon,UNRATED,Crime,Daniel Schlachet,Tom Kalin,Tom Kalin,USA,American Playhouse,6.8,1365,250000,,340147,,93,9/25/1992,UNK
1991,Thousand Pieces of Gold,PG-13,Romance,Rosalind Chao,Nancy Kelly,Ruthanne Lum McCunn,USA,American Playhouse,7.1,460,0,,717772,,105,11/1/1991,UNK
1989,Bloodhounds of Broadway,PG,Comedy,Josef Sommer,Howard Brookner,Howard Brookner,USA,American Playhouse Theatrical Films,5.7,1021,4000000,,43671,,93,11/3/1989,UNK
1995,Safe,R,Drama,Julianne Moore,Todd Haynes,Todd Haynes,UK,American Playhouse Theatrical Films,7.2,9448,1000000,,512245,,119,6/30/1995,UNK
1996,Jack,PG-13,Comedy,Robin Williams,Francis Ford Coppola,James DeMonaco,USA,American Zoetrope,5.8,49346,45000000,,58620973,,113,8/9/1996,UNK
2002,Pumpkin,R,Comedy,Christina Ricci,Anthony Abrams,Adam Larson Broder,USA,American Zoetrope,6.3,7792,0,,305690,,113,3/12/2004,UNK
2009,Tetro,R,Drama,Vincent Gallo,Francis Ford Coppola,Mauricio Kartun,USA,American Zoetrope,6.9,11077,5000000,,518522,,127,9/23/2011,UNK
2013,The Bling Ring,R,Biography,Katie Chang,Sofia Coppola,Sofia Coppola,USA,American Zoetrope,5.6,72810,8000000,,5841046,,90,6/21/2013,UNK
1999,The Virgin Suicides,R,Drama,Kirsten Dunst,Sofia Coppola,Jeffrey Eugenides,USA,American Zoetrope,7.2,125166,6000000,,4859475,,97,5/19/2000,UNK
1992,Wind,PG-13,Action,Matthew Modine,Carroll Ballard,Jeff Benjamin,USA,American Zoetrope,6.5,2123,29000000,,5519569,,126,9/11/1992,UNK
2007,Youth Without Youth,R,Drama,Tim Roth,Francis Ford Coppola,Mircea Eliade,USA,American Zoetrope,6.3,11873,5000000,,244397,,124,10/26/2007,UNK
1999,Asterix and Obelix vs. Caesar,Not specified,Adventure,Christian Clavier,Claude Zidi,René Goscinny,France,AMLF,5.9,33214,0,,1644060,,109,2/3/1999,UNK
1998,Hideous Kinky,R,Adventure,Kate Winslet,Gillies MacKinnon,Esther Freud,UK,AMLF,6.1,5757,12000000,,1262786,,98,1/13/1999,UNK
2006,Taxidermia,NOT RATED,Comedy,Csaba Czene,György Pálfi,Lajos Parti Nagy,Hungary,Amour Fou Filmproduktion,7,14123,0,,10205,,91,8/23/2006,UNK
2016,Your name,PG,Animation,Ryûnosuke Kamiki,Makoto Shinkai,Makoto Shinkai,Japan,Amuse,8.5,54503,0,,5017246,,106,4/7/2017,UNK
2010,Casino Jack,R,Biography,Kevin Spacey,George Hickenlooper,Norman Snider,Canada,An Olive Branch Productions,6.2,15443,15000000,,1039869,,108,1/7/2011,UNK
2011,10 Years,PG-13,Comedy,Channing Tatum,Jamie Linden,Jamie Linden,USA,Anchor Bay Films,6.1,20229,0,,203373,,100,10/5/2012,UNK
2011,Kill the Irishman,R,Biography,Ray Stevenson,Jonathan Hensleigh,Jonathan Hensleigh,USA,Anchor Bay Films,7.1,37684,12000000,,1187711,,106,5/11/2012,UNK
2011,Texas Killing Fields,R,Crime,Sam Worthington,Ami Canaan Mann,Don Ferrarone,USA,Anchor Bay Films,5.7,16018,0,,45282,,105,10/14/2011,UNK
1998,Safe Men,R,Comedy,Sam Rockwell,John Hamburg,John Hamburg,USA,Andell Entertainment,6,2851,1000000,,21210,,88,8/7/1998,UNK
2005,Harsh Times,R,Action,Christian Bale,David Ayer,David Ayer,USA,Andrea Sperling Productions,6.9,57219,2000000,,3337931,,116,11/10/2006,UNK
2005,The Quiet,R,Crime,Camilla Belle,Jamie Babbit,Abdi Nazemian,USA,Andrea Sperling Productions,6.4,13952,900000,,381186,,96,8/25/2006,UNK
2013,The Spectacular Now,R,Comedy,Miles Teller,James Ponsoldt,Scott Neustadter,USA,Andrew Lauren Productions (ALP),7.1,119642,2500000,,6851969,,95,9/13/2013,UNK
1994,Eat Drink Man Woman,UNRATED,Comedy,Sihung Lung,Ang Lee,Ang Lee,Taiwan,Ang Lee Productions,7.8,14947,0,,7294403,,124,8/3/1994,UNK
1992,Pushing Hands,NOT RATED,Comedy,Bozhao Wang,Ang Lee,Ang Lee,Taiwan,Ang Lee Productions,7.3,2826,400000,,152322,,105,1/20/1996,UNK
1993,The Wedding Banquet,R,Comedy,Winston Chao,Ang Lee,Ang Lee,Taiwan,Ang Lee Productions,7.7,11573,1000000,,6933459,,106,8/4/1993,UNK
1991,Twenty-One,R,Drama,Patsy Kensit,Don Boyd,Zoe Heller,UK,Anglo International Films,5.3,429,0,,256521,,92,10/4/1991,UNK
2003,The League of Extraordinary Gentlemen,PG-13,Action,Sean Connery,Stephen Norrington,Alan Moore,USA,Angry Films,5.8,148712,78000000,,66465204,,110,7/11/2003,UNK
2014,Vampire Academy,PG-13,Action,Zoey Deutch,Mark Waters,Richelle Mead,USA,Angry Films,5.6,45199,30000000,,7791146,,104,2/7/2014,UNK
2001,Y Tu Mamá También,R,Adventure,Maribel Verdú,Alfonso Cuarón,Alfonso Cuarón,Mexico,Anhelo Producciones,7.7,97627,2000000,,13622333,,106,4/26/2002,UNK
2013,Short Term 12,R,Drama,Brie Larson,Destin Daniel Cretton,Destin Daniel Cretton,USA,Animal Kingdom,8,64478,0,,1010414,,96,8/23/2013,UNK
2000,Animal Factory,R,Crime,Willem Dafoe,Steve Buscemi,Edward Bunker,USA,Animal Productions LLC,6.6,11086,3600000,,43805,,94,8/1/2000,UNK
1992,Belle Epoque,R,Comedy,Fernando Fernán Gómez,Fernando Trueba,Rafael Azcona,Spain,Animatógrafo,7.2,7915,0,,5971369,,109,2/25/1994,UNK
